denuncia_fecha,denuncia_tipo_explotacion,denuncia_via_ingreso,denunciante_tipo_acercamiento,hecho_localidad,hecho_provincia,hecho_pais,hecho_denuncia_previa,derivacion_judicializacion_organismo,derivacion_judicializacion_fecha
2017-01-08,Explotación sexual,Línea 145,ONG – Org Nacionales,ROSARIO,Santa Fe,Argentina,,Protex,2017-01-08
2017-01-08,Desaparición,Línea 145,Otros,FLORENCIO VARELA,Buenos Aires,Argentina,,Protex,2017-01-08
2017-01-08,Posible captación,Línea 145,Sin datos,SAN JUSTO,Buenos Aires,Argentina,,Protex,
2017-01-08,Posible captación,Línea 145,Otros,SAN JUSTO,Buenos Aires,Argentina,,Protex - Seguimiento,2017-01-08
2017-01-09,Explotación sexual,Línea 145,Televisión,MENDOZA CAPITAL,Mendoza,Argentina,,Área legal (judicializadas),2017-01-09
2017-01-09,Explotación sexual,Línea 145,Otros,ESCOBAR,Caba,Argentina,,Área legal (judicializadas),2017-01-09
2017-01-09,Explotación sexual,Línea 145,Televisión,LA PLATA,Buenos Aires,Argentina,,Protex,2017-01-09
2017-01-09,Oferta laboral engañosa,Línea 145,Televisión,MONTE GRANDE,Buenos Aires,Argentina,,Protex,2017-01-10
2017-01-09,Secuestro/Venta de niños/pornografía infantil,Línea 145,Televisión,MICROCENTRO,Caba,Argentina,,PNA Área legal para judicializar ,2017-01-09
2017-01-09,Secuestro/Venta de niños/pornografía infantil,Línea 145,Televisión,SAN TELMO,Caba,Argentina,,PNA Área legal para judicializar ,2017-01-09
2017-01-09,Traslado de personas,Línea 145,Sin datos,ENTRE RIOS,Entre Ríos,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-09
2017-01-10,Explotación sexual,Línea 145,Televisión,Caba,Caba,Argentina,,Área legal (judicializadas),2017-01-10
2017-01-10,Explotación sexual,Línea 145,Televisión,Caba,Caba,Argentina,,Área legal (judicializadas),2017-01-10
2017-01-10,Explotación sexual,Línea 145,Televisión,MAR DEL PLATA,Buenos Aires,Argentina,,Área legal (judicializadas),2017-01-10
2017-01-10,Explotación laboral,Línea 145,Televisión,ROSARIO,Santa Fe,Argentina,,Protex,2017-01-10
2017-01-10,Desaparición,Línea 145,Televisión,LA MATANZA,Buenos Aires,Argentina,,Protex,2017-01-10
2017-01-10,Explotación sexual,Línea 145,Otros,Caba,Caba,Argentina,,Protex,2017-01-10
2017-01-10,Explotación sexual,Línea 145,Otros,COLONIA GAMARA- LA BANDA ,Santiago del Estero,Argentina,,Protex,2017-01-10
2017-01-10,Explotación sexual,Línea 145,Sin datos,CONCEPCION,Tucumán,Argentina,,Protex,2017-01-10
2017-01-10,Desaparición,Línea 145,Sin datos,LA MATANZA,Buenos Aires,Argentina,,Protex,2017-01-10
2017-01-10,Desaparición,Línea 145,Sin datos,LA MATANZA,Buenos Aires,Argentina,,Protex,2017-01-10
2017-01-10,Oferta laboral engañosa,Línea 145,Sin datos,CÓRDOBA,Córdoba,Argentina,,Protex,2017-01-10
2017-01-10,Traslado de personas,Línea 145,Internet,FOZ DE IGUAZU A MISíONES,Misiones,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-10
2017-01-10,Desaparición,Línea 145,Televisión,MAR DEL PLATA,Buenos Aires,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-10
2017-01-10,Desaparición,Línea 145,Internet,CAMPANA,Caba,Argentina,,No sale,2017-01-10
2017-01-11,Explotación sexual,Línea 145,Televisión,MAR DEL PLATA,Buenos Aires,Argentina,,Protex,2017-01-11
2017-01-11,Explotación laboral,Línea 145,Televisión,EZEIZA,Buenos Aires,Argentina,,Protex,2017-01-11
2017-01-11,Desaparición,Línea 145,ONG – Org Nacionales,RODEO DE LA CRUZ,Mendoza,Argentina,,Protex,2017-01-11
2017-01-11,Explotación sexual,Línea 145,Otros,USHUAIA,Tierra del Fuego,Argentina,,Protex,2017-01-11
2017-01-11,Explotación sexual,Línea 145,Sin datos,PARANA ,Entre Ríos,Argentina,,Protex,2017-01-11
2017-01-11,Explotación sexual,,Sin datos,ROSARIO,Santa Fe,Argentina,,Protex,2017-01-11
2017-01-11,Explotación sexual,Línea 145,Sin datos,ROSARIO,Santa Fe,Argentina,,Protex,2017-01-11
2017-01-11,Explotación sexual,Línea 145,Sin datos,VICUÑA MAQUENA,Córdoba,Argentina,,Protex,2017-01-11
2017-01-11,Explotación laboral,Línea 145,Sin datos,SAN MARTIN,Buenos Aires,Argentina,,Protex,2017-01-11
2017-01-11,Explotación laboral,Línea 145,Televisión,RAMOS MEJIA,Buenos Aires,Argentina,,Protex,2017-01-11
2017-01-12,Desaparición,Línea 145,Sin datos,Caba,Caba,Argentina,,Área legal (judicializadas),
2017-01-12,Oferta laboral engañosa  - posible captación,Línea 145,Televisión,RAMOS MEJIA,Buenos Aires,Argentina,,Protex,2017-01-12
2017-01-12,Oferta laboral engañosa,Línea 145,Otros,MORON ,Buenos Aires,Argentina,,Protex,
2017-01-12,Explotación sexual,Línea 145,Sin datos,USHUAIA,Tierra del Fuego,Argentina,,Protex,2017-01-12
2017-01-12,Explotación laboral,Línea 145,Otros,Caba ,Caba,Argentina,,PNA Área legal para judicializar ,2017-01-12
2017-01-12,Explotación sexual,Línea 145,Sin datos,Caba,Caba,Argentina,,PNA Área legal para judicializar ,2017-01-12
2017-01-12,Explotación sexual,Línea 145,Sin datos,ROSARIO,Santa Fe,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-12
2017-01-12,Posible captación,Línea 145,ONG – Org Nacionales,LA MATANZA,Buenos Aires,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-12
2017-01-12,Posible captación,Línea 145,Otros,LA MATANZA,Buenos Aires,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-12
2017-01-12,Explotación laboral,Línea 145,Televisión,EZEIZA,Buenos Aires,Argentina,,,
2017-01-13,Explotación sexual,Línea 145,Radio,Caba,Caba,Argentina,,Área legal (judicializadas),2017-01-14
2017-01-13,Explotación sexual,Línea 145,ONG – Org Nacionales,Caba ,Caba,Argentina,,Área legal (judicializadas),
2017-01-13,Explotación sexual,Línea 145,Sin datos,Caba,Caba,Argentina,,Área legal (judicializadas),2017-01-12
2017-01-13,Explotación laboral,Línea 145,Televisión,BARRIO PATERNAL O VILLA MITRE,Caba,Argentina,,Protex,2017-01-13
2017-01-13,Explotación laboral,Línea 145,Televisión,CIUDAD DE POLVORIVES - PARTIDO DE MALVINAS ARGENTINAS,Buenos Aires,Argentina,,Protex,2017-01-13
2017-01-13,Posible captación,Línea 145,Televisión,PERICO,Jujuy,Argentina,,Protex,2017-01-13
2017-01-13,Explotación sexual,Línea 145,Otros,ROSARIO,Santa Fe,Argentina,,Protex,2017-01-13
2017-01-13,Explotación sexual,Línea 145,Otros,,,,,Protex - Fuerzas de seguridad federales,2017-01-13
2017-01-13,Explotación sexual,Línea 145,Sin datos,TUCUMAN,Tucumán,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-13
2017-01-14,Explotación sexual,Línea 145,Sin datos,Caba,Caba,Argentina,,Área legal (judicializadas),2017-01-14
2017-01-14,Explotación sexual,Línea 145,Otros,BELLA VISTA - SAN MIGUEL,Buenos Aires,Argentina,,Protex,2017-01-14
